sentiment,review_body,product_category
0,After reading so many great reviews i was sure i was going to love it but i'm so glad i tried it on in the print at the store. the small was baggy in the bust - ti was not slightly fitted as shown in the picture. the extra small was to small in the chest and the seam came up too high. it was also very low cut. the shirt as shown has to be pinned behind the models back because there's no way it would look like that otherwise. if it would have been a little more tailored as shown in the photo i wo,Blouses
0,"I am 5 8""  130 and i usually wear a 4 in tops like this from retailer but the fit of this one was not good for me. though the styling and details of the top are lovely  it was small through the shoulders and very large everywhere else. looked too much like maternity. i love the shape of this kind of top but to be flattering it actually needs to be fitted through the bust and upper body and then flare in the right places and this was pretty boxy all around. too bad - so cute!",Blouses
0,"My review of the pros : 1) quality made  not see through in any way  can wear with small bra straps 2) lace gives the top a 'different look""  really liked it. my review of the cons  which made me return the top 1) runs huge!!! i am 5'2""  36 small c  broad shoulders and my usual size medium looked like an xl. it was large in the bust area and almost 'puckered' at the armpits? i would probably order 2 sizes down to an xs  which i never wear in any size top. 2) for petite gals (i am 5'2"")  this a a",Blouses
0,I love the style of this top. i just wish there were a slimmer version of it. unfortunately  this top doesn't suit my long  slim midsection. it is so wide  it completely hides the waist. i think it would look adorable on a different body type.,Blouses
0,This top is beautiful aesthetically  and i liked the tunic length. the bottom lace is cut out  so make sure things are adequately covered if you wear this with leggings. the fit is flattering.  however  i had some issues with the sizing. i usually wear an xs or a s in tops. the body of both sizes yielded a boxy fit for me  which is seen on the model.. i tried the top with a belt  which looked nice. however  the thing that stopped me from keeping the top was the shoulder/armpit/sleeve area. the s,Blouses
0,I love this fabric  and the design details of this top. but i am only 5'3  and this top ends above my waist! shoulders and sleeves fit perfectly and the neck and back details are very flattering. i ended up keeping the shirt because i love the fabric so much  but i am trying to find a way to wear this shirt with how short it is. tucking in or wearing with high-waisted bottoms are all i can figure out  for someone without a perfectly flat tummy.,Blouses
0,I like the color and the plaid pattern on this top. the material is soft to the touch and despite being petite  i bought the regular length to pair with tights. it has the feel of a baby doll because of the longer length on me. i quite like the feminine cut of the top which makes it slightly unique as far as plaid tops go. the material also doesn't feel too flimsy or cheap and the top feels well made. it will not be hard to reach for this item as it is a versatile piece  as many reviewers have n,Blouses
0,This top is very cute  but i found it runs small in the bust  which is unusual for maeve. i will have to return it. you may want to size up  if you have a generous bust.,Blouses
1,Love the look. love the fit for both professional and casual looks!!,Blouses
1,The drape of this shirt is flattering  and i appreciate the longer tail in back. the fabric is light  and that is perfect for our fall transition here in so. california. with a sweater  it will be great in winter  too. so far  i've worn it with jeans and booties  and have accessorized it in different ways to dress it up or down.,Blouses
1,Love this blouse! the color is really unique and love the back button detail. i dont think the white buttons look cheap at all as another person pointed out - they add a lot to an already beautiful top. can't wait to wear it!,Blouses
1,I tried this on in the sotre (in balck) as i was planning on ordering the orangey one.  my usual is 0 or 2  sometimes petites. i thought the regular 0 was sjut fine and flattering. fabric is soft  adn every pattern they ahd in store was really nice (no orange-red though). was not overly snug anywhere  and i am a bit braod for my size.  i deceided not to purchase only because i have done seriosu damage in the last month *multiple purcahses) and this was one of 2 i had to pick... if it goes on sal,Blouses
1,I had no issues with size or length. i'm 5'9 34c bust and i bought the striped shirt in a 4 and the umbrella print in a 2. the 2 was ever so slightly tight at the second button but i was wearing a heavy cotton cami. i could have worn a 2 in the striped top as well. i am broad shouldered and the shoulder seam in the size 4 dropped a little so there was plenty of room. these shirts are adorable. i usually don't like button downs but this style is very flattering. the material is light and drapes w,Blouses
1,"I bought this top at my local retailer in a burgundy color. it is so beautiful and feminine. i want to get it in the other color they had in the store and also this black one available on-line. i bought it in a size 6 and i am 5' 2""   34d. i sometimes get tops in petite but i felt the reg size fit just fine.",Blouses
1,Love this top and i think it is a great transition piece - i live in texas  so our temps stay high until october. this top in the purple motif color is perfect  since the colors aren't look too summery  but the fabric is lightweight. this top is a little bit boxy  but drapes nicely so it won't make you look wide. as with most holding horses tops  this runs a little big so size down unless you need the length.,Blouses
1,I ordered this top in the white and cream color combo and love it so much. the buttons in the back add a sweet touch - easy top for fall  spring (easy to throw a cardigan over)  and summer. i ordered a medium  but probably could have done a small. classic retailer!,Blouses
1,This top is really pretty. the fabric is soft and flowy (not too boxy) and the elastic at the top is comfortable. it does not ride up or fall off the shoulders  which i've found with tops of similar design. in my regular size s (5'6 - 125lb)  i didn't find the sleeves tight like others have mentioned. one thing i did notice was that the hidden straps that many other tops and dresses have (the ones for hanging on a hanger) are sewn right on the edge of the upper elastic making them pop up a bit.,Blouses
-1,I wanted this dress so much  i ordered it twice. both times the zipper was defective--it would get stuck midway up  at the waistline--so i had to send it back (there isn't an retailer in my area). this is a shame because it's got great colors and looks flattering on  and i was looking forward to pairing it with a cardigan/boots for fall. i even thought about taking it to a seamstress to have the zipper replaced  but the cost didn't seem worth it. too bad  as it seems like it would be a nice,Dresses
-1,Good reason to read reviews. i concur with others in that it fins large and looks boxy. heavy fabric makes matters worse.,Dresses
-1,I was so excited to buy it online  but it come in a small plastic bag  and lot of pieces are missing on the one i got  so i had to return it,Dresses
-1,I don't know how to explain  but this dress at least for me did not look like the model  first off the dress is extremely heavy and extremely long and then where the fur starts  for me it didn't start at the right spot so it was very awkward looking... so definitely not for my type of body  i am normal height (5'5''  athletic and curvy body) but maybe for a very tall person looks good! the material is very interesting  it's so soft!,Dresses
-1,The design is very flattering and holiday appropriate. but like many maeve dresses it is absurdly overpriced for the cheap materials used. although figure flattering  the zipper is so cheap that --it runs along the left side -- it bubbles out ruining the sleek look of the bodycon dress. and the rough cheap poly is not worth what they're asking for it. maybe find this on the sale rack but not at retail,Dresses
-1,This dress is absolutely hideous on my physique. ordered a size 6 and it hung on me like a cheaply made tent. i have an athletic built am a 34d. it is going back asap.,Dresses
-1,"I couldn't wait to get this dress! i bought it and was instantly disappointed when i took it out of the bag. while the fabric was beautiful  the sizing was way off. this dress claims to be 35"" long  and i could tell instantly it wasn't. it barely covered my rear. i also know it's supposed to be flowy  but it was really  really wide. i can see this working for someone around 5 feet tall who is wider.",Dresses
-1,Thought this would be a great dress for warm days  but alas it fit like a sack. love floreat and have a few of their well made dresses. shame this did nothing for my curves. ordered an 8  usually wear a 10 and it was a tad narrow in the shoulders. if you can sport a loose swingy shape  this is a great dress with nice detailing  but sadly the shape did not work for me.,Dresses
-1,I have to agree with the first reviewer! i really loved the color of this dress and could almost have overlooked the lack of a lining  but when i felt the fabric expecting a nice lush silk  instead getting what felt like a polyster instead i couldn't justify it for the price. i really liked the fact that a maxi came in petite sizes as well  but just couldn't get over the poor quality for that price so back it goes!     i hope the team members or buyers at retailer are reading these reviews,Dresses
0,It looks so cute and i love the detail on this dress but it was not flattering on me. light summer dress and that was exactly what i needed but i had to exchange it with something else.,Dresses
0,So many things to love: love the mod kind of style  the forgiving pleats and empire waist and the fabric quality. but the neckline is just way too deep. if they didn't pin the one on the model  i'm a monkey's uncle. that super low neckline takes what should be a nice day dress and turns it into something you can't really wear in a church or in front of your dad. i seriously considered altering it  but the waist is already so high  i felt it would ruin the line of the dress.,Dresses
0,This dress is a bit scratchy  but overall i liked the fabric well enough. on someone blond and fair  the peach color washes out a bit. the issue for me with the dress is that front is just too short for my height (i'm 5 9 1/2). it looked a bit obscene.     the small otherwise fit me great. i have broad shoulders  small chest and and slim.,Dresses
0,Really liked this dress  but it ran too big for me.,Dresses
0,I got this dress in the mail  and while i loved the concept of it  it really is too boxy. the tie is very superficial and does not really nip you in at the waist  it is more so for show. it is fully lined which was interesting  and to me  made the dress seem boxier. the quality is good  but i am an hourglass and this was completely unflattering. i would have had to size up to make it look like the model shot  but it would have still been a shapeless dress  just bigger. it does fit true to size ,Dresses
0,This dress runs a bit small. the large arm holes were unflattering to my small chest. also  this dress seemed to make my belly protrude. it kind of made me look pregnant in a way that no other dress has! i could see this dress being flattering on someone with a very flat stomach or a large chest. not me!!,Dresses
0,"I am 5'4""  100lbs  petite frame  i bought this dress in xxsp. the fabric was good quality and thicker than i have imagined  good for fall  maybe a little warm for the hot humid summer days  but perhaps a cooler summer day. unfortunately this dress runs pretty large  much too large for my petite frame  so i had to return it. i would recommend sizing down. this dress is very beautiful and would be great to wear to work or out for after work drinks  also maybe a bridal shower or other brunch event.",Dresses
0,"There isn't much shape to this dress. it's fairly straight from top to bottom. i'm smaller on top with a small waist but slightly pear shaped. the top half was somewhat loose but the bottom half just clung too much. i'm 5'2"" and 107 lbs and bought a pxs for reference. also  i wore a tee shirt underneath and the dress shed all over it.",Dresses
0,"I so wanted to love this dress! the fabric is gorgeous the styling beautiful and the construction is great - however  the armholes are cut too generously. i am 5'4""  138 pounds and 36d. i ordered the black in a size 10. it fit me perfectly everywhere but the armholes. even with an undergarment  too much is exposed. i am sadly returning this.",Dresses
1,"I ordered this dress to wear to a mid summer evening wedding. i love it. i think it will be fun  and it is unexpected for me. i will need to order a smaller size.i am 5'-5"" and almost always wear a 4 in retailer wear. this ran a little big on the top  i will be ordering a 2 and sending one back",Dresses
1,This dress is really beautiful. i have already worn it to both an engagement party (fancy) and just out to dinner (casual); it fits most occasions  depending on what you pair it with  which always makes me feel like i have gotten my full money's worth. i've gotten several compliments on it; the best one being that it looks as though i was wearing a piece of art! the outside material of the dress is silky in texture and has a nice sheen to it. it looks true to the picture on the website. the dres,Dresses
1,I love this dress. the fabric is creative...checked lace. the silhouette is figure flattering. work appropriate and can wear it for dinner with a change of shoes and jewelry.,Dresses
1,This is an all-purpose outfit  well-made  good material. it can be worn many ways.,Dresses
1,"I purchased this pretty printed dress as soon as i spotted it on-line and ordered it in my usual size petite 6 (i'm 5'4"" 34d-27-35) and found it fit me tts and looks just perfect on. i immediately adored all the different prints on this one  the length  the sweet sleeves and waist band and think this will look so adorable with a jean jacket paired with a cute pair of boots this coming fall amd winter. it's a great transition piece that also looks really cute with sandals or clogs as well. also ",Dresses
1,I got this in the red and the black.i returned the red for it doesn't compare to the black one.i would have loved it if it was a red dress with white flowers.i didn't like it being a white dress with red flowers.the black one is the one to pick!,Dresses
1,"Soft  comfortable material and flattering with or without a belt. i'm 5'10""  130...typically wear a 4. the small fits me perfectly and even the sleeve length is long enough when unrolled. high hem hits me a few inches above the knee  low hem a few inches below.",Dresses
1,Whimsical and elegant. fits a bit snug in rib cage  but that works well for me. i'm a 32c.,Dresses
1,"I'm trying to buy more basic  versatile clothes and this dress in gray is great for that. definitely runs large-- i usually wear an 8 and it fits in a 6p. i'm  5'5"" and the petite falls where it does on the model. the regular was unflatteringly long and sack-like. quality seems ok for the sale price.",Dresses
-1,I read the existing reviews  before purchasing  and a few mentioned that this sweater ran large. this has been my experience with most tops i have purchased from retailer. i figured by ordering a medium  i would receive a slightly loose to moderately loose fitting sweater. this was not the case! the sweater is short  does not look anything like it does when you view the model from behind (and i assume the model is taller than i...as models are usually tall). for reference  i am 5'6''  medium build,Fine gauge
-1,And not in a good way. everywhere i went  i left a little of this sweater behind. within hours of having it on  i was picking balls of fabric off the couch  bed  and the sweater itself looked like it was molting. great style  fabric and fit (although a little on the long side ) but there's no way i can keep it.,Fine gauge
-1,I ordered the in the emerald green and it was sent to me with a dime size hole in the sleeve. i am very disappointed  because i love the sweater. by the time it arrived  it was sold out in my size. now  i cannot exchange it for one that is not damaged. if the sweater was not damaged  i would recommend this product.,Fine gauge
-1,The photo misrepresents how large this sweater is. it is giant! petite ladies stay away from this sweater. i ordered an xs and usually can manage to fit in a regular xs  but this just floored me. the neckline wouldn't even stay up on my upper body  it was that loose. also the width of the sweater does not at all hug the body as shows on the model. it is like a tent. i'm so bummed. the color blue is nice and the sweater is really soft. it's too bad it doesn't fit smaller women.,Fine gauge
-1,"I didn't mind the ""scratchiness"" others proclaimed this garment had  but it is made very tight in the arms and across the back. looks great from the front  but uncomfortable.",Fine gauge
-1,The shirt does have a weird yellow tinge as other reviewers have described. i could get over that if the shirt was a flattering fit which it was not. not worth the money so i returned it.,Fine gauge
-1,I usually wear a size medium in angel of the north but this was very small. i would need to have ordered a size large or xl to have it fit. pretty but returning.,Fine gauge
-1,The sleeves on this top always caught my eye every single time i was in a store. they never had my size to try on  so when a free shipping offer came up  i ordered the ivory top in a size large. well  the sleeves are indeed stunning  but that is all that is attractive about this top! the rest was a plain  blank  white canvas. in fact  that's what it felt like to wear it -- like i was wearing a tent or an artist's canvas on my chest. yuck! how can this designer put so much thought and care into t,Fine gauge
-1,"Loved this top online but when i tried it on it was shorter than expected so only fitting for high waisted bottoms and much more boxy than it appeared online. i wish to high heaven that this top came in a more ""normal"" cut. hip length and slimming  the fabric and collar are beautiful!",Fine gauge
0,"Just got this in the mail yesterday and i want so badly to love it but it's just a little too big and boxy. i'm 5'5""  125lbs and ordered a small but i really wish i'd ordered the xs. not sure if i'll exchange or just return. seems high quality and the pattern is gorgeous. it's basically exactly what i'm looking for until i actually put it on and then it just kind of looks like i'm wearing my grandpa's old sweater.",Fine gauge
0,"I like the design and the color of the cardigan (i got green). i like the details on the back. the cardigan is tts  the shoulder width and sleeves length seems perfect (for reference: 5'7""  125 lb  got size s).    the problem for me is that the cardigan is not as long as it looks in the photos for the rose color; the pictures for the beige show the length more accurately. it may work for a smaller lady  but i like my cardigans a bit longer and cozier.    also  it is not just that the material is",Fine gauge
0,I love the colors in this top  but sadly i'm going to have to return it. the first thing my husband did when he saw this on me was just stare  and not in a good way. then he said it looked like a maternity top. i was so disappointed  and sadly will be returning this. for reference  i am 135 pounds. 5-ft. 4-in tall and do not want to look pregnant in a top. i normally wear size medium tops  but this one is huge. now i know why the model in the picture had her arms nestled in at her sides. this to,Fine gauge
0,This thing sheds so much it's almost unuseable but i used an entire roll of sticky roller and got it to the point where i could wear it with only a glob of fuzz on my underwear not other people's couches. it's cute and fits well other than that. buy a sticky roller!,Fine gauge
0,Cute details but not happy with the fit. runs wide and short. the peplum fabric on bottom is stiff  wrinkles easily  and lays funny. returning this one.,Fine gauge
0,I was so excited to receive this sweater in the mail since my local store didn't carry it. it is a very cute design if you have a smaller frame but i'm curly up top and it didn't lay they way it did on the model. there's plenty of stretch. unfortunately the fabric sheds and itches terribly. you could wear a shirt underneath but i'd have to wear a turtleneck so it'll be going back.,Fine gauge
0,This sweater looks soft and flowy on the model  but in the store it is rather stiff lace in the back and very plain in the front. i did not like the ribbing on the front bottom of the sweater because it pulled in places and didn't lie flat. way too expensive for what you are getting.,Fine gauge
0,On the mannequin this looked adorable. it is made well but if you have any bustline it just billows out below like a tent and is not flattering. if it had less fullness it would have been really cute.,Fine gauge
0,I really wanted to love this sweater after reading the reviews but when i received it i was sadly disappointed. it is pretty boxy and not much shape. could be cute for casual outfits but i was looking for some dressier sweaters.,Fine gauge
1,This shirt is everything i wanted it to be! lightweight  easy style without being shapeless. it is sheer  but perfect with a tank underneath. i'm an extra small  and it fit perfectly - not tight  not too loose...honestly  if it came in more colors i'd buy it in every one. definitely going to be a fall staple!,Fine gauge
1,This sweater is really pretty. it is a little itchy  but seems really well made. i also like that you have the option of wearing it open with the tie tied in the back for some shape. a nice alternative to the basic cardigan.,Fine gauge
1,I love this sweater. i bought it in black and love the way the back falls gently and flatters my figure. i'm curvy on bottom w/ a butt and tummy so i like to cover them but i don't want to look like i'm wearing a moo-moo. this top looks chic. it's the right shape to flow gently. it's just the right detail to be different in an understated way. i wear it w/ leggings and jeggings because it falls low enough to cover my butt. neckline is good-- i'm a 34b and it's flattering. not sure if it will fla,Fine gauge
1,This sweater is super cute. it has nice weight to it and is just a nice casual but attractive piece to wear with jeans or white pants. love that it zips and just a really cute pattern of marigold  mint/teal and grey/dark gray.,Fine gauge
1,The colors in this cardigan are not what they look like on line. the top is navy and the lower arms are grey. the sweater overall has more punch than pictured. this is a cotton sweater and a great fall layering piece. it will look great with a tee shirt and jeans. it is a long sweater  but not too long as to swallow a smaller person up. i also really like that the front is not too flowy. i am looking forward to wearing this all fall.,Fine gauge
1,This sweater is just the cutest- sweet and feminine with interesting details especially in the back. it's very figure flattering worn closed (there are 3 adorable little buttons) or it can be worn open over a dress or a cami. it runs very small  i usually wear a small or extra small but i bought this one in a medium  mindful of the reviews. i'm so glad i did since in addition to running small the sweater did shrink a little when i washed it even though i hand washed it in cold water. it wasn't a,Fine gauge
1,Great top for the older woman who wants to be stylish but needs a little extra room. the subtle color goes with anything. i love it!!,Fine gauge
1,I've been looking for a wrap cardigan for a while and this totally fit the bill. it fits well  is soft  and made of good materials. i love the versatility of using it with all my dresses. this is a great staple piece.,Fine gauge
1,I love retailer sweaters  in fact  i believe all my sweaters are from retailer! this cardigan is really nice and i'm so glad i bought it. it will work well with skirts  dresses  pants... it's well made and soft and comfy. highly recommended!,Fine gauge
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
1,This is the perfect bralette for comfort; it's soft and fits to form really quickly. i wear a b cup  and it's enough support for me to wear daily doing everything other than heavy exercise. now  at 5 months pregnant it's pretty much perfect to sleep in too. i'm at 35 band  and i'm still wearing it on the loosest closure  but it fits perfectly there for me.,Intimates
1,This bra is the one. i have been searching high and low to replace my worn out comfy bra  and this is it. if you are looking for a wireless bra with thin straps that can peek out from your shirt and not announce themselves as hello bra straps  a v-neck cut (none of that scoop cut nonsense)  and you don't care about trying to boost your cleavage  this bra has it all. so comfy too.,Intimates
1,I am not a fan of unlined bras  but this one was so pretty i had to try it. the lace doesn't look cheap  but overall i wouldn't have wanted to pay full price. it fits well and the support offers a nice shape (no cone!). i might go back for the other color.,Intimates
1,"I purchased this in the black and received it today.  it is silky feeling and is a quality camisole.  the color is a muted black  not all shiny as some silks are (and they often look cheap) but this looks great and could be worn alone  under leather  or with a sweater/kimono.  i usually wear a medium in tops  and this fit true to size.  i am 5'2"" and it doesn't look too long  but i do wish it came in a petite.  still keeping it!",Intimates
1,I bought these to have a pair between standard fair and sexy  but these are so comfortable and gorgeous i would wear them everyday! it doesn't even feel like i am wearing anything. love these!,Intimates
1,"Super soft comfy underwear. i sized up and they fit perfectly. normally wear xs and bought m for most comfortable fit. they don't ride up. i ended up ordering 5 more pairs. super comfy without being too ""mom"" like.",Intimates
1,Cute little sleep mask! the elastic band is wide so it doesn't ever feel like it's digging into your head. does a very good job keeping out light.,Intimates
1,These are great  the colors are a little different in real life. they are really great but i think they are a bit delicate and i hope they hold up.,Intimates
1,This bra is very cute and pretty comfortable. i usually wear between a 34d in elle mcpherson and this fit perfect. i got it in black and while it's really cute i was surprised how different the color looked in person vs. online. online it looked to me to have some purple to it  but it is definitely 100% black in person (just an fyi). i also thought the tassel was cute  but it does look a little cheap and flimsy in person. still a great bra.,Intimates
-1,I have never had a purchase go wrong at retailer  which is why i am was not hesitant to spend this much money on the blazer. however  the quality is very poor - it feels like it might fall apart after one clean. also  the buttons where not sewn on properly. i wear an xs and the size was a good fit  but the overall quality was not worth the price (or even close to it).,Jackets
-1,This jacket is just too small for me anyway and i am no way big. i am tall and athletic and this thing looked like it had shrunk in the wash. there are so many better fitting other types out there  this went back,Jackets
-1,"Beautiful fabric with soft drape. unfortunately the ""captain kangaroo"" pockets are awful. unless you have a straight up and down shape with no hips this is very unflattering. the pockets look like saddle bags and add a huge amount of fabric where most people don't want added bulk. very disappointing. returned.",Jackets
-1,Even at a very deep discount  this piece is definitely not worth the money. the picture made me think this jacket had a longer curved velvet hem as part of its design (which would be cool)--which is largely what attracted me to it  but as i discovered when it arrived  that was actually part of the shirt worn beneath in the photo. so this image is rather misleading. the actual jacket is very thin--more like a shirt with an open front than a jacket. the pockets are just loosely tacked inside. for,Jackets
-1,I love the photo of this and because the reviews were so positive i ordered it. i was shocked when i opened the package. first  the fabric is not the silky rayon cotton blend i was expecting. it looks and feels more like a cheap cotton. it does not have the drape or feel or look i expect in a kimono  which brings me to the second disappointment. it is not a kimono at all. it has no kimono sleeve  no sleeves at all in fact. just a slit in the side of the body of the garment you put your arm throu,Jackets
-1,I ordered this online and was disappointed when it arrived. it didn't look quite like it does in the photos online. it also runs small. i returned it because i did not feel it was worth the high price.,Jackets
-1,I purchased this jacket in my local store. size 10 and runs really small . i love the color combination and design but the fabric in my opinion is poor quality. i have seen a lot of retailer use this poly spun knit in so much of their items and the jacket after bringing it home and looking in the light was already showing pilling. looks like it is worn in an bad way. returned the next day. this was a big disappointment and every time i see this fabric being used in retailer clothes it makes me mad.,Jackets
-1,This looks great on the model but when it arrived  i couldn't believe it was the same jacket. it looks a bit like a really loose garbage bag on me and no amount of adjusting drawstrings is going to fix it. i really wanted to like it  but even the xs/s was too baggy. also a bit worried based on other reviews that it isn't actually a rain jacket and wont keep you dry.,Jackets
-1,After reading the previous reviews i thought sizing down would be a great idea. as soon as i pulled it out of the bag i knew that the xs/s was still wayyy too big. for reference i am 5'3 and a 34ddd and usually wear an 8 but this thing was enormous. it was shapeless and boxy but done so horribly it looked like i was pregnant. it has an adjustable draw string at the bottom which helps to make you look like a balloon. such a disappointment. the design was lovely and it looked very high quality and,Jackets
0,This design looks really sharp on the image  but in reality this jacket felt more like a jacket you would get at forever xxi.  the fabric had that polyester/shiny quality to it that made it look cheap.  since the fabric was pretty soft  with a gray jersey lining  it felt more like a padded jacket than a constructed blazer.      i also thought the cut was small if you have a bust larger than a b  i felt like i was busting out of a size 8  and i am a 34d.,Jackets
0,I was searching for the perfect large comfy sweater for the cold winter weather ahead and i thought this would be it. it looks so cute in the pictures but when i received in by mail it wasn't what i was searching for. this sweater  like on the model  is quite large. although i wanted a large sweater  the fit of this one didn't fit well on me. it has more of a boxy feel to it. i usually wear a medium  but went with a small because i expected this to fit a little large and it still engulfed me. i,Jackets
